./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         16.526         14.773         29.16%         14.513         30.935
                            EmptyKernel(api=ocl wgc=1 wgs=1)         15.330         15.325         10.40%         13.558         19.739
                           EmptyKernel(api=ocl wgc=1 wgs=16)         14.698         14.313          9.32%         13.762         18.774
                           EmptyKernel(api=ocl wgc=1 wgs=32)         14.968         15.224          2.97%         14.293         15.420
                          EmptyKernel(api=ocl wgc=1 wgs=256)         15.070         15.378          3.85%         14.177         15.767
                          EmptyKernel(api=ocl wgc=100 wgs=1)         14.691         14.591          2.56%         14.159         15.590
                         EmptyKernel(api=ocl wgc=100 wgs=16)         15.069         15.026          2.92%         14.581         15.586
                         EmptyKernel(api=ocl wgc=100 wgs=32)         16.214         15.643         15.27%         14.347         23.511
                        EmptyKernel(api=ocl wgc=100 wgs=256)         14.874         14.707          2.91%         14.475         15.770
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         15.033         14.927          3.29%         14.298         15.764
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         15.426         15.656          3.58%         14.512         16.056
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         14.926         14.628          3.45%         14.511         15.728
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         15.721         15.517          2.86%         15.245         16.438
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         18.815         19.024          2.79%         17.962         19.470
