./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)         10.133          9.977          4.83%          9.753         11.534
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          3.119          1.991        109.49%          1.720         13.353
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.226          2.130         13.12%          1.958          3.014
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          3.131          2.006        111.09%          1.776         13.557
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         10.186         10.149          3.70%          9.717         11.176
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          3.056          1.988        108.28%          1.800         12.977
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          2.359          2.250         15.78%          2.064          3.441
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          3.134          1.915        114.94%          1.794         13.931
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         10.305         10.105          4.46%          9.951         11.544
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          3.111          1.907        112.22%          1.727         13.574
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.037          2.030         10.40%          1.788          2.613
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          3.082          1.968        110.12%          1.736         13.257
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         10.364         10.249          4.90%          9.726         11.376
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          9.725          9.216         20.44%          7.771         14.022
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          9.338          9.071          8.93%          8.398         11.246
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)         10.381         10.495         14.60%          8.175         12.685
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          9.145          9.188          8.00%          7.858         10.488
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)         10.652          9.856         28.61%          7.908         18.810
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          9.967          8.872         24.49%          7.735         14.860
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)         12.094         10.486         34.31%          8.538         23.462
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)         10.022          8.585         29.38%          7.786         17.446
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          9.945          9.282         15.66%          7.783         12.577
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          9.435          9.156         18.24%          7.738         14.028
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          9.925          9.266         16.50%          8.202         12.747
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          8.932          8.699         13.33%          7.319         11.378
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)         11.274         11.433         16.31%          8.508         13.677
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)         10.079          9.994         16.59%          8.186         14.256
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)         10.521          9.788         22.40%          7.711         14.032
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)         12.821         10.893         36.52%          8.049         21.597
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)         11.596         11.121         22.37%          8.357         15.185
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          9.515          9.199         16.79%          7.781         13.796
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          9.821          9.311         15.49%          7.674         12.553
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          9.661          9.526          9.00%          8.008         11.158
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)         10.351          9.735         15.69%          8.185         13.510
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          8.861          8.866          8.36%          7.677         10.313
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          9.749          9.084         17.90%          7.601         12.606
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          9.140          9.062          9.17%          7.794         10.602
                NewResourcesSubmissionDevice(api=ocl size=1)        398.483        389.682         13.32%        340.977        526.043
             NewResourcesSubmissionDevice(api=ocl size=64KB)        349.355        336.532         22.47%        239.915        556.873
            NewResourcesSubmissionDevice(api=ocl size=512KB)        365.613        354.642         16.48%        261.537        462.442
              NewResourcesSubmissionDevice(api=ocl size=1MB)        359.531        359.455         26.30%        175.236        499.565
             NewResourcesSubmissionDevice(api=ocl size=16MB)        644.147        620.328         11.27%        576.076        848.220
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1558.469       1511.918         11.09%       1330.614       2030.522
            NewResourcesSubmissionDevice(api=ocl size=256MB)       4844.807       4828.925          2.95%       4598.513       5064.766
              NewResourcesSubmissionDevice(api=ocl size=1GB)      16995.212      17029.552          0.64%      16723.969      17115.636
                  NewResourcesSubmissionHost(api=ocl size=1)        121.030        106.283         29.17%         91.171        204.184
               NewResourcesSubmissionHost(api=ocl size=64KB)        124.896        100.287         41.05%         94.230        228.024
              NewResourcesSubmissionHost(api=ocl size=512KB)        173.597        168.225         38.17%         96.680        263.058
                NewResourcesSubmissionHost(api=ocl size=1MB)        132.721        110.523         36.71%         92.952        231.955
               NewResourcesSubmissionHost(api=ocl size=16MB)        689.240        285.082        119.26%        243.418       2495.671
               NewResourcesSubmissionHost(api=ocl size=64MB)       8224.220       8159.112          3.99%       7843.209       8900.928
