./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          2.008          1.935          9.09%          1.860          2.489
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.129          2.048         13.36%          1.894          2.912
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          1.946          1.853         11.77%          1.791          2.576
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)          9.817          9.753          3.30%          9.344         10.643
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          1.987          1.909         10.91%          1.804          2.580
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          2.193          2.112         10.22%          2.035          2.817
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          1.991          1.909         12.89%          1.791          2.725
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)          9.803          9.726          2.50%          9.481         10.412
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          1.962          1.901         10.23%          1.755          2.477
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.179          2.087         11.65%          1.975          2.883
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          1.947          1.901         12.08%          1.757          2.595
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)          9.815          9.744          2.73%          9.620         10.589
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)         10.111          9.794         10.66%          9.403         13.312
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          9.491          9.465          1.49%          9.240          9.751
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          9.830          9.701          3.40%          9.586         10.804
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          9.718          9.623          3.84%          9.281         10.721
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          9.855          9.843          3.35%          9.422         10.748
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          9.626          9.470          5.11%          9.176         11.029
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          9.843          9.765          3.15%          9.475         10.704
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          9.603          9.503          4.32%          9.195         10.768
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          9.904          9.905          2.10%          9.446         10.217
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          9.921          9.426         14.73%          9.111         14.183
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          9.776          9.659          4.05%          9.382         10.850
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          9.682          9.601          2.87%          9.438         10.468
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          9.819          9.784          3.34%          9.429         10.725
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          9.781          9.737          4.16%          9.362         10.931
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)         10.629          9.743         21.61%          9.654         17.412
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          9.995          9.684          7.54%          9.365         11.966
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          9.851          9.750          2.81%          9.613         10.615
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          9.487          9.379          3.03%          9.086         10.128
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          9.840          9.717          3.91%          9.623         10.982
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          9.633          9.553          4.52%          9.265         10.861
