./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)          9.869          8.851         31.28%          8.787         19.131
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          2.332          1.559        101.85%          1.451          9.454
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          1.860          1.666         33.30%          1.520          3.710
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          1.659          1.499         29.04%          1.419          3.094
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)          9.068          8.860          6.36%          8.769         10.767
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          1.729          1.567         30.88%          1.392          3.290
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          1.818          1.651         24.37%          1.620          3.133
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          1.681          1.507         30.83%          1.402          3.225
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)          9.840          8.778         31.96%          8.705         19.272
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          1.670          1.506         28.95%          1.433          3.115
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.424          1.609         99.18%          1.551          9.633
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          1.660          1.506         29.62%          1.424          3.130
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)          9.882          8.835         31.27%          8.769         19.150
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          0.736          0.712         22.03%          0.590          1.204
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          0.816          0.758         20.31%          0.743          1.311
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          0.774          0.683         35.67%          0.625          1.600
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          0.801          0.753         17.20%          0.630          1.107
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          0.775          0.725         22.46%          0.672          1.287
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          0.810          0.779         12.69%          0.740          1.112
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          0.757          0.713         23.14%          0.594          1.255
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          0.835          0.772         16.97%          0.716          1.164
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          0.794          0.740         14.01%          0.684          1.057
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          0.832          0.767         33.60%          0.633          1.657
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          0.790          0.746         25.44%          0.588          1.373
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          0.827          0.766         18.15%          0.744          1.265
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          0.773          0.702         23.03%          0.594          1.193
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          0.797          0.730         24.12%          0.604          1.339
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          0.798          0.713         25.94%          0.669          1.382
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          0.767          0.738         23.59%          0.580          1.286
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          0.751          0.713         24.65%          0.582          1.282
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          0.843          0.768         22.81%          0.718          1.376
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          0.728          0.695         18.83%          0.598          1.128
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          0.823          0.738         30.04%          0.605          1.523
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          0.787          0.728         24.68%          0.673          1.356
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          0.830          0.792         14.21%          0.737          1.153
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          0.811          0.721         27.15%          0.605          1.419
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          0.799          0.760         14.60%          0.719          1.122
                NewResourcesSubmissionDevice(api=ocl size=1)        381.221        395.642         25.56%        170.843        503.269
             NewResourcesSubmissionDevice(api=ocl size=64KB)        402.768        370.077         18.37%        324.830        514.529
            NewResourcesSubmissionDevice(api=ocl size=512KB)        437.761        489.263         23.04%        250.952        546.632
              NewResourcesSubmissionDevice(api=ocl size=1MB)        438.859        432.984         15.10%        317.491        533.373
             NewResourcesSubmissionDevice(api=ocl size=16MB)        722.328        726.110          8.61%        622.478        817.653
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1510.903       1492.070          7.20%       1335.718       1708.133
            NewResourcesSubmissionDevice(api=ocl size=256MB)       4581.780       4558.889          1.67%       4468.783       4750.712
              NewResourcesSubmissionDevice(api=ocl size=1GB)      16482.493      16502.231          0.58%      16256.618      16594.811
                 NewResourcesWithGpuAccess(api=ocl size=1KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64KB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=512KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=16MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64MB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=256MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1GB)          ERROR          ERROR          ERROR          ERROR          ERROR
                                RoundTripSubmission(api=ocl)         12.666         11.585         22.60%         10.852         21.022
                             WalkerSubmissionEvents(api=ocl)         11.528         11.440          7.57%         10.640         14.000
