./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          1.637          1.532         19.52%          1.463          2.582
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)         11.189         11.187          1.74%         10.755         11.459
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          1.608          1.486         20.20%          1.427          2.571
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          1.788          1.643         19.74%          1.585          2.811
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          1.775          1.623         26.68%          1.443          3.121
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         11.265         11.211          1.37%         11.158         11.668
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          1.668          1.562         22.78%          1.453          2.797
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          1.838          1.739         13.86%          1.661          2.563
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          1.686          1.591         21.97%          1.465          2.775
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         11.143         11.185          3.29%         10.451         11.643
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          1.685          1.550         23.70%          1.499          2.878
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          1.797          1.714         13.82%          1.630          2.520
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          1.664          1.563         19.20%          1.462          2.607
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         11.329         11.216          5.14%         10.568         12.827
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          0.721          0.696         14.20%          0.608          0.997
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          0.792          0.762          8.45%          0.730          0.924
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          0.696          0.673         10.12%          0.624          0.882
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          0.715          0.714          8.83%          0.597          0.841
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          0.731          0.714          5.38%          0.696          0.833
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          0.743          0.734          5.86%          0.683          0.847
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          0.741          0.726         14.48%          0.579          0.966
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          0.784          0.752         10.68%          0.704          1.004
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          0.765          0.740          9.52%          0.688          0.928
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          0.780          0.734         14.36%          0.634          1.038
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          0.715          0.710          9.31%          0.585          0.867
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          0.799          0.774          8.78%          0.692          0.950
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          0.717          0.716          8.91%          0.590          0.819
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          0.762          0.748          5.68%          0.716          0.856
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          0.734          0.720          6.66%          0.680          0.826
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          0.735          0.750         11.15%          0.593          0.845
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          0.708          0.700         12.86%          0.583          0.939
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          0.824          0.792         11.99%          0.721          1.048
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          0.730          0.698         13.01%          0.584          0.926
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          0.742          0.732          8.10%          0.642          0.832
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          0.746          0.720          9.86%          0.668          0.919
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          0.760          0.759          4.61%          0.706          0.809
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          0.719          0.712         10.52%          0.601          0.886
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          0.771          0.768          6.22%          0.708          0.864
                NewResourcesSubmissionDevice(api=ocl size=1)        433.024        426.283          8.83%        387.039        511.520
             NewResourcesSubmissionDevice(api=ocl size=64KB)        480.600        451.101         20.34%        333.651        667.320
            NewResourcesSubmissionDevice(api=ocl size=512KB)        492.067        478.613         15.68%        381.792        646.438
              NewResourcesSubmissionDevice(api=ocl size=1MB)        503.101        504.946         11.00%        389.812        582.390
             NewResourcesSubmissionDevice(api=ocl size=16MB)       1410.195       1383.180          7.79%       1252.483       1567.122
             NewResourcesSubmissionDevice(api=ocl size=64MB)       3883.334       3885.511          0.65%       3837.846       3917.276
            NewResourcesSubmissionDevice(api=ocl size=256MB)      13773.670      13767.114          0.62%      13643.621      13953.731
              NewResourcesSubmissionDevice(api=ocl size=1GB)      54087.164      53944.149          0.97%      53561.413      55075.202
                  NewResourcesSubmissionHost(api=ocl size=1)        130.778        124.979         14.85%        111.711        181.923
               NewResourcesSubmissionHost(api=ocl size=64KB)         69.917         59.977         32.30%         52.814        131.683
              NewResourcesSubmissionHost(api=ocl size=512KB)        133.230        141.080         19.15%         58.419        151.691
                NewResourcesSubmissionHost(api=ocl size=1MB)        140.836        133.253         17.19%        112.162        188.840
               NewResourcesSubmissionHost(api=ocl size=16MB)        553.434        186.352        171.70%        150.070       3365.928
               NewResourcesSubmissionHost(api=ocl size=64MB)      10231.441       9992.409          9.38%       9069.921      12027.901
              NewResourcesSubmissionHost(api=ocl size=256MB)      33775.232      33796.236          0.55%      33308.313      34019.998
                NewResourcesSubmissionHost(api=ocl size=1GB)     134578.476     135057.350          1.15%     129937.053     135289.334
                 NewResourcesWithGpuAccess(api=ocl size=1KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64KB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=512KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=16MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64MB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=256MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1GB)          ERROR          ERROR          ERROR          ERROR          ERROR
                                RoundTripSubmission(api=ocl)         32.477         32.273          3.32%         30.514         34.554
                            WalkerCompletionLatency(api=ocl)          3.577          3.577          0.22%          3.566          3.586
                             WalkerSubmissionEvents(api=ocl)         16.008         15.560          4.17%         15.360         17.200
