./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         11.296         11.377          5.71%         10.488         12.291
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         11.000         10.810          3.31%         10.620         11.577
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         15.794         15.736          3.98%         15.010         17.494
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          1.806          1.731         12.94%          1.597          2.414
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.007          1.918         16.40%          1.795          2.977
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          2.072          1.538         73.77%          1.510          6.655
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)          9.881          9.546         11.55%          9.218         13.281
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          2.852          1.586        133.48%          1.513         14.272
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          3.098          1.764        128.93%          1.681         15.077
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          2.904          1.639        132.24%          1.533         14.423
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         11.108          9.416         44.83%          9.342         26.044
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.879          1.599        131.41%          1.520         14.225
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          3.179          1.808        127.84%          1.702         15.368
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          2.874          1.579        134.25%          1.514         14.446
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         10.500          9.448         27.88%          9.362         19.263
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          3.336          1.518        163.92%          1.426         19.738
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          2.877          1.698        123.36%          1.576         13.524
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          2.667          1.578        124.79%          1.474         12.651
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=1)         10.743          9.270         41.15%          9.164         24.001
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          2.602          1.494        128.77%          1.440         12.653
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          2.869          1.702        122.66%          1.598         13.422
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          2.590          1.457        128.86%          1.409         12.603
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         10.789          9.304         41.68%          9.154         24.280
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          2.635          1.506        127.85%          1.459         12.740
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          1.880          1.778         14.46%          1.687          2.646
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          1.926          1.510         62.97%          1.449          5.559
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)          9.488          9.381          3.23%          9.147         10.219
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          1.858          1.487         57.10%          1.427          5.035
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          2.243          1.736         68.70%          1.570          6.854
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          2.617          1.514        125.79%          1.470         12.491
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)         10.720          9.290         40.60%          9.107         23.773
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          2.647          1.536        126.99%          1.450         12.730
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          2.882          1.717        120.81%          1.667         13.329
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=0)          2.626          1.570        120.58%          1.476         12.122
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=1)          9.451          9.334          3.98%          9.172         10.535
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=0)          2.623          1.566        121.23%          1.481         12.159
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          1.854          1.792         14.93%          1.643          2.645
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          1.941          1.552         58.79%          1.506          5.361
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)          9.443          9.393          3.24%          9.062         10.252
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          1.812          1.529         49.31%          1.442          4.489
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          1.800          1.713         16.32%          1.621          2.660
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          1.753          1.547         36.46%          1.442          3.666
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         10.307          9.326         29.25%          9.160         19.345
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          1.939          1.650         45.27%          1.530          4.561
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          1.740          1.667         13.62%          1.600          2.445
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          1.743          1.539         36.08%          1.442          3.621
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)          9.397          9.322          2.51%          9.137          9.984
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          1.741          1.508         36.21%          1.442          3.624
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          1.778          1.721         14.18%          1.594          2.513
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          1.722          1.568         31.98%          1.472          3.369
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)          9.462          9.367          2.27%          9.302         10.035
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          1.031          1.010         16.95%          0.727          1.328
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          1.240          1.213          9.00%          1.052          1.485
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          1.014          1.011         10.98%          0.843          1.257
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          1.091          1.105         16.19%          0.800          1.418
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          1.079          1.052          5.81%          0.991          1.188
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          1.140          1.106          9.65%          1.014          1.340
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          0.991          0.984         14.31%          0.787          1.318
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          1.197          1.199         12.13%          1.032          1.534
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          1.030          1.022          6.11%          0.958          1.186
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          1.149          1.139          8.91%          0.963          1.309
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          1.004          0.983         14.01%          0.743          1.295
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          1.111          1.106         11.19%          0.928          1.386
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          0.948          0.944         17.19%          0.732          1.362
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          1.017          1.026         12.96%          0.804          1.317
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          0.970          0.977          6.23%          0.840          1.086
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          1.328          1.026         69.79%          0.776          4.058
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          1.009          0.973         16.61%          0.764          1.313
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          1.436          1.104         66.64%          0.975          4.293
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          1.044          0.997         12.50%          0.894          1.371
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          1.039          1.058         14.86%          0.759          1.261
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          1.030          1.017          9.91%          0.906          1.257
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          1.005          0.979          8.79%          0.917          1.214
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          0.975          0.972         13.15%          0.798          1.292
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          1.098          1.061         12.87%          0.979          1.481
                NewResourcesSubmissionDevice(api=ocl size=1)        419.600        429.843         10.23%        341.199        502.926
             NewResourcesSubmissionDevice(api=ocl size=64KB)        432.827        442.802         16.44%        332.980        515.323
            NewResourcesSubmissionDevice(api=ocl size=512KB)        411.564        409.969         22.07%        245.302        599.102
              NewResourcesSubmissionDevice(api=ocl size=1MB)        430.317        448.437         23.58%        159.052        547.839
             NewResourcesSubmissionDevice(api=ocl size=16MB)        692.228        700.167         10.92%        536.199        806.132
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1609.369       1584.836          7.40%       1463.018       1769.043
            NewResourcesSubmissionDevice(api=ocl size=256MB)       4838.533       4797.533          3.07%       4624.639       5124.353
              NewResourcesSubmissionDevice(api=ocl size=1GB)      17000.808      16989.863          0.76%      16832.654      17177.608
                  NewResourcesSubmissionHost(api=ocl size=1)        221.052        223.784         28.21%         78.188        332.688
               NewResourcesSubmissionHost(api=ocl size=64KB)        116.809         96.019         59.50%         41.221        236.627
              NewResourcesSubmissionHost(api=ocl size=512KB)         87.782         93.443         45.03%         41.938        152.895
                NewResourcesSubmissionHost(api=ocl size=1MB)         37.858         37.571          2.96%         37.064         41.120
               NewResourcesSubmissionHost(api=ocl size=16MB)        632.107        184.192        145.04%        153.783       2542.458
               NewResourcesSubmissionHost(api=ocl size=64MB)       8930.974       8909.278          3.23%       8584.321       9435.269
              NewResourcesSubmissionHost(api=ocl size=256MB)      33784.153      33940.969          1.53%      32244.255      34075.450
                NewResourcesSubmissionHost(api=ocl size=1GB)     134840.034     135379.094          1.38%     129314.450     136129.176
                 NewResourcesWithGpuAccess(api=ocl size=1KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64KB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=512KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=16MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64MB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=256MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1GB)          ERROR          ERROR          ERROR          ERROR          ERROR
                                RoundTripSubmission(api=ocl)         12.749         11.790         22.61%         11.151         21.274
                            WalkerCompletionLatency(api=ocl)          1.096          1.087          5.90%          0.977          1.185
                             WalkerSubmissionEvents(api=ocl)         11.664         11.440          8.93%         10.560         14.400
