./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         11.691         10.110         43.06%          9.246         26.680
                            EmptyKernel(api=ocl wgc=1 wgs=1)         10.538          9.880         19.99%          8.638         16.638
                           EmptyKernel(api=ocl wgc=1 wgs=16)          9.801          8.868         24.86%          8.702         17.001
                           EmptyKernel(api=ocl wgc=1 wgs=32)          9.573          9.476          6.34%          9.007         11.231
                          EmptyKernel(api=ocl wgc=1 wgs=256)         17.657          9.708        134.06%          8.681         88.616
                          EmptyKernel(api=ocl wgc=100 wgs=1)          9.478          9.208          6.69%          8.924         10.765
                         EmptyKernel(api=ocl wgc=100 wgs=16)          9.779          9.527          7.86%          9.088         11.796
                         EmptyKernel(api=ocl wgc=100 wgs=32)          9.975         10.038          5.10%          8.956         11.107
                        EmptyKernel(api=ocl wgc=100 wgs=256)         10.656          9.480         29.04%          9.064         19.743
                         EmptyKernel(api=ocl wgc=1000 wgs=1)          9.777          9.438          7.56%          9.070         11.636
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         10.093         10.009          4.83%          9.144         11.036
                        EmptyKernel(api=ocl wgc=1000 wgs=32)          9.864          9.694          8.09%          8.948         11.373
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         10.093          9.713          8.35%          9.255         12.016
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         11.386         11.476          2.91%         10.739         11.879
