./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         12.933         11.291         37.76%         10.590         27.524
                            EmptyKernel(api=ocl wgc=1 wgs=1)         11.665         11.370         18.27%          9.980         17.824
                           EmptyKernel(api=ocl wgc=1 wgs=16)         11.254         10.539         17.12%         10.415         16.996
                           EmptyKernel(api=ocl wgc=1 wgs=32)         11.173         11.386          3.96%         10.413         11.813
                          EmptyKernel(api=ocl wgc=1 wgs=256)         11.272         11.491          4.27%         10.470         11.763
                          EmptyKernel(api=ocl wgc=100 wgs=1)         10.943         10.850          3.36%         10.649         11.985
                         EmptyKernel(api=ocl wgc=100 wgs=16)         11.206         11.188          3.55%         10.711         11.741
                         EmptyKernel(api=ocl wgc=100 wgs=32)         11.442         11.625          5.23%         10.496         12.234
                        EmptyKernel(api=ocl wgc=100 wgs=256)         11.033         10.831          3.62%         10.613         11.816
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         11.137         11.031          2.97%         10.614         11.676
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         11.490         11.627          4.23%         10.541         12.164
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         11.041         10.792          4.38%         10.566         11.874
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         11.540         11.431          2.91%         11.129         12.097
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         13.670         13.857          2.64%         12.882         13.971
