./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         13.446         13.189          3.93%         12.923         14.403
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         14.263         13.064         23.77%         12.884         24.405
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         19.374         19.480          1.52%         18.817         19.711
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          1.692          1.600         15.16%          1.552          2.449
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          1.870          1.786         10.69%          1.745          2.434
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          2.146          1.595         79.53%          1.488          7.264
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         10.044          9.595         12.21%          9.513         13.709
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          2.910          1.619        130.67%          1.568         14.318
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          3.091          1.721        129.20%          1.657         15.069
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          2.844          1.577        133.43%          1.474         14.228
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         10.556          9.643         25.87%          9.483         18.736
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.927          1.628        132.47%          1.583         14.561
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          1.909          1.825         16.58%          1.688          2.825
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          2.920          1.617        132.36%          1.567         14.515
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         11.216          9.559         43.85%          9.446         25.971
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          2.749          1.533        130.80%          1.497         13.538
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          1.863          1.798         16.39%          1.652          2.741
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          1.886          1.464         66.49%          1.405          5.646
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=1)          9.789          9.671          3.19%          9.576         10.675
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          1.863          1.536         54.14%          1.455          4.886
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          1.766          1.699         10.72%          1.594          2.302
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          1.758          1.490         45.78%          1.422          4.168
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         10.582          9.625         26.49%          9.410         18.962
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          1.849          1.562         48.72%          1.460          4.546
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          1.764          1.701         10.00%          1.649          2.268
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          1.884          1.575         49.45%          1.471          4.663
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)          9.624          9.664          2.75%          9.243         10.198
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          1.740          1.476         43.67%          1.426          4.011
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          1.741          1.694          9.88%          1.625          2.243
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          1.706          1.527         33.77%          1.438          3.427
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)          9.677          9.643          2.29%          9.370         10.209
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          1.750          1.531         39.92%          1.437          3.839
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          1.767          1.708         11.24%          1.637          2.347
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=0)          1.730          1.516         37.76%          1.440          3.682
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=1)          9.691          9.695          2.87%          9.345         10.319
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=0)          1.649          1.474         30.45%          1.405          3.133
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          1.788          1.714         13.97%          1.612          2.525
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          1.726          1.514         36.41%          1.429          3.599
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)          9.584          9.502          3.50%          9.276         10.497
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          1.780          1.505         43.61%          1.427          4.097
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          1.751          1.685         11.43%          1.541          2.318
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          1.722          1.522         35.76%          1.452          3.566
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)          9.621          9.640          2.41%          9.334         10.120
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          1.704          1.506         31.02%          1.472          3.282
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          1.775          1.753          8.97%          1.545          2.154
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          1.666          1.527         27.62%          1.440          3.041
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)          9.622          9.636          2.93%          9.315         10.330
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          1.710          1.510         36.68%          1.418          3.585
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          1.770          1.717         11.21%          1.605          2.342
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          1.657          1.514         26.73%          1.429          2.971
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)          9.615          9.535          3.09%          9.267         10.323
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          1.006          0.982         15.58%          0.774          1.411
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          1.080          1.079          5.58%          0.984          1.177
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          1.035          1.046         11.62%          0.831          1.317
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          1.022          1.024          9.79%          0.853          1.224
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          1.049          1.017         10.88%          0.927          1.373
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          1.042          1.078          6.42%          0.929          1.112
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          1.049          1.005         12.65%          0.886          1.341
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          1.108          1.083         10.06%          0.951          1.410
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          1.028          1.014          4.32%          0.975          1.129
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          1.018          1.027          9.17%          0.862          1.198
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          1.075          1.043         10.66%          0.891          1.328
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          1.083          1.089          6.30%          0.979          1.169
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          0.948          0.971         14.64%          0.753          1.282
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          1.061          1.026         17.72%          0.889          1.599
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          0.983          0.968          5.66%          0.903          1.075
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          1.254          0.966         72.38%          0.745          3.952
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          0.962          0.988         13.09%          0.764          1.230
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          1.276          1.012         54.79%          0.970          3.358
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          1.016          0.997         15.85%          0.821          1.429
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          0.980          1.000         10.51%          0.785          1.194
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          1.005          0.985          8.38%          0.905          1.172
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          0.989          1.004          5.64%          0.874          1.089
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          0.968          0.981         12.92%          0.781          1.171
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          1.125          1.055         20.54%          0.953          1.788
                NewResourcesSubmissionDevice(api=ocl size=1)        433.628        411.218         21.68%        294.316        607.923
             NewResourcesSubmissionDevice(api=ocl size=64KB)        453.380        485.667         26.24%        160.073        565.761
            NewResourcesSubmissionDevice(api=ocl size=512KB)        448.173        454.628         18.19%        280.398        537.032
              NewResourcesSubmissionDevice(api=ocl size=1MB)        461.190        474.376         15.16%        291.837        539.555
             NewResourcesSubmissionDevice(api=ocl size=16MB)        798.813        776.229         10.00%        678.400        958.513
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1855.332       1834.173          5.97%       1638.171       2015.339
            NewResourcesSubmissionDevice(api=ocl size=256MB)       5815.437       5789.352          1.78%       5651.103       5975.589
              NewResourcesSubmissionDevice(api=ocl size=1GB)      21829.485      21917.750          2.54%      21084.277      22609.367
                  NewResourcesSubmissionHost(api=ocl size=1)        192.237        207.089         41.59%         76.481        303.421
               NewResourcesSubmissionHost(api=ocl size=64KB)         86.385         69.409         37.62%         56.916        159.129
              NewResourcesSubmissionHost(api=ocl size=512KB)         80.443         54.973         64.64%         47.869        195.959
                NewResourcesSubmissionHost(api=ocl size=1MB)         85.633         57.615         56.82%         51.519        194.910
               NewResourcesSubmissionHost(api=ocl size=16MB)        829.342        217.201        147.04%        150.225       3363.825
               NewResourcesSubmissionHost(api=ocl size=64MB)      10312.480      10057.357          9.11%       9151.945      11924.653
              NewResourcesSubmissionHost(api=ocl size=256MB)      33859.042      33903.166          0.56%      33312.027      34024.578
                NewResourcesSubmissionHost(api=ocl size=1GB)     134517.709     135081.094          1.47%     128631.180     135552.092
                 NewResourcesWithGpuAccess(api=ocl size=1KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64KB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=512KB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=16MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                NewResourcesWithGpuAccess(api=ocl size=64MB)          ERROR          ERROR          ERROR          ERROR          ERROR
               NewResourcesWithGpuAccess(api=ocl size=256MB)          ERROR          ERROR          ERROR          ERROR          ERROR
                 NewResourcesWithGpuAccess(api=ocl size=1GB)          ERROR          ERROR          ERROR          ERROR          ERROR
                                RoundTripSubmission(api=ocl)         14.796         13.960         18.00%         13.321         22.645
                            WalkerCompletionLatency(api=ocl)          1.389          1.395          3.24%          1.268          1.440
                             WalkerSubmissionEvents(api=ocl)         12.096         11.560          9.17%         11.200         15.120
