Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1300

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)         10.053          9.354         10.86%          9.194         12.111
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)         10.124          9.810          7.34%          9.693         12.236
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          6.476          6.108         57.11%          2.820         11.946
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         26.271         25.781          4.45%         25.328         28.875
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          9.786          9.402          8.01%          9.265         11.937
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)         10.249          9.922          7.61%          9.826         12.476
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          9.811          9.248         10.42%          9.104         12.299
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         22.109         25.865         27.77%         13.637         29.157
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          9.714          9.401          7.75%          9.278         11.871
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)         10.369         10.136          8.98%          9.681         13.014
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          9.136          9.444         24.59%          2.868         12.155
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         23.956         25.821         21.84%         13.664         29.615
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)         13.856         12.640         16.46%         11.976         19.207
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)         13.480         13.197          7.79%         12.475         16.457
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)         12.905         12.441          9.75%         11.953         16.274
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)         14.848         13.181         33.97%          8.135         28.034
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          6.486          5.982         26.07%          4.769         10.707
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)         12.106         12.381         32.19%          4.870         17.126
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)         13.182         12.803         11.23%         12.302         17.557
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)         14.865         12.502         34.57%         12.011         29.483
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)         21.637         11.747         87.12%         11.381         61.132
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          7.938          6.539         49.20%          4.773         16.694
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)         58.011         56.253         19.57%         45.555         74.538
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)         11.022         11.684         38.83%          4.321         16.397
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          8.697          7.163         45.22%          4.386         15.938
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)         12.732         13.534         25.91%          5.311         16.305
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          9.982         10.409         42.65%          4.821         16.823
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)         13.216         12.447         11.78%         12.104         16.923
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          8.922          7.719         43.51%          4.849         16.769
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)         11.770         12.896         31.33%          5.575         18.178
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)         13.979         12.727         20.78%         11.418         21.543
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)         13.625         12.732         16.06%         11.265         17.057
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)         12.317         12.511         23.13%          5.339         17.894
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)         15.065         12.878         29.60%         11.819         26.100
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)         12.678         12.666         24.25%          5.167         17.698
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          9.537         11.359         43.27%          4.375         16.028
                NewResourcesSubmissionDevice(api=ocl size=1)        151.491        174.757         27.85%         80.224        203.447
             NewResourcesSubmissionDevice(api=ocl size=64KB)        152.225        176.938         29.35%         91.809        199.281
            NewResourcesSubmissionDevice(api=ocl size=512KB)        175.498        124.888         76.64%         98.489        569.447
              NewResourcesSubmissionDevice(api=ocl size=1MB)        193.685        192.741          5.64%        180.791        216.999
             NewResourcesSubmissionDevice(api=ocl size=16MB)       1192.058       1204.106          2.79%       1129.180       1230.674
             NewResourcesSubmissionDevice(api=ocl size=64MB)      10355.765      10387.894          5.06%       9698.233      11502.379
            NewResourcesSubmissionDevice(api=ocl size=256MB)      37773.884      37375.546          1.95%      37028.542      38895.868
              NewResourcesSubmissionDevice(api=ocl size=1GB)     159136.160     148480.606         11.87%     147789.010     204632.766
                  NewResourcesSubmissionHost(api=ocl size=1)        141.175        141.338         34.07%         89.361        244.088
               NewResourcesSubmissionHost(api=ocl size=64KB)        358.264        358.288          3.43%        337.746        381.863
              NewResourcesSubmissionHost(api=ocl size=512KB)        171.960        183.074         26.28%        104.574        266.978
                NewResourcesSubmissionHost(api=ocl size=1MB)        291.813        248.745         35.66%        176.609        483.535
               NewResourcesSubmissionHost(api=ocl size=16MB)       1241.421       1184.623         16.37%       1028.409       1760.372
               NewResourcesSubmissionHost(api=ocl size=64MB)      10991.758      11108.693          8.46%       9461.586      12503.389
              NewResourcesSubmissionHost(api=ocl size=256MB)      39251.088      37479.246         11.87%      37227.869      53023.559
                NewResourcesSubmissionHost(api=ocl size=1GB)     146177.691     147949.433          4.92%     125005.849     152504.434
                 NewResourcesWithGpuAccess(api=ocl size=1KB)         92.577         86.276         12.97%         83.895        119.845
                NewResourcesWithGpuAccess(api=ocl size=64KB)        129.589        106.717         52.35%         90.519        328.838
               NewResourcesWithGpuAccess(api=ocl size=512KB)        181.949        172.327         25.09%        138.348        311.154
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        243.927        232.528         15.53%        215.375        354.532
                NewResourcesWithGpuAccess(api=ocl size=16MB)       2461.286       2240.044         17.90%       2010.505       3629.424
                NewResourcesWithGpuAccess(api=ocl size=64MB)      14191.225      14185.686          0.54%      14091.917      14400.650
               NewResourcesWithGpuAccess(api=ocl size=256MB)      55557.549      55353.045          1.35%      55048.435      57754.277
                 NewResourcesWithGpuAccess(api=ocl size=1GB)     220573.537     219337.341          1.51%     218808.168     230366.861
                                RoundTripSubmission(api=ocl)         61.427         42.171         53.64%         35.418        122.173
                            WalkerCompletionLatency(api=ocl)          5.137          5.104         13.02%          3.724          6.635
                             WalkerSubmissionEvents(api=ocl)        186.792        186.433          5.62%        176.354        212.708
