Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1300

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          4.828          4.635         10.69%          4.585          6.362
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          4.511          4.355         10.74%          4.269          5.957
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)         16.225         16.072          3.25%         15.837         17.740
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          4.501          4.359         10.11%          4.261          5.859
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          4.811          4.659          9.40%          4.610          6.162
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          4.484          4.293         11.48%          4.234          6.011
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         16.441         16.074          4.91%         15.875         18.358
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          4.550          4.388         11.37%          4.290          6.095
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          4.812          4.627         10.57%          4.569          6.328
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          4.459          4.290         11.11%          4.245          5.938
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         17.024         16.069         17.07%         15.909         25.735
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          4.543          4.389         10.51%          4.283          5.966
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          4.969          4.644         13.28%          4.610          6.540
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          4.565          4.425          9.70%          4.350          5.885
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         16.437         15.998          5.21%         15.886         18.304
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          1.979          1.935          8.07%          1.867          2.441
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          2.129          2.107          7.09%          1.920          2.454
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          2.128          2.082          9.09%          1.866          2.658
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          2.080          1.965         13.86%          1.846          2.711
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          2.435          1.964         53.83%          1.941          6.362
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          2.483          2.181         35.18%          1.812          5.013
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          2.433          1.978         50.39%          1.880          6.084
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          2.241          2.248          8.09%          2.004          2.532
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          2.529          2.036         54.41%          1.863          6.622
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          2.192          2.112         11.77%          2.035          2.948
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          2.124          2.036          8.85%          1.961          2.598
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          2.017          2.003          5.96%          1.849          2.262
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          2.148          2.107          9.71%          1.885          2.680
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          2.176          2.119          9.30%          1.937          2.581
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          2.007          1.910         14.29%          1.768          2.620
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          1.346          1.301         10.08%          1.217          1.659
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          2.077          2.023          6.56%          1.960          2.455
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          1.388          1.308         16.53%          1.154          1.954
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          2.053          2.035          7.68%          1.860          2.370
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          2.156          2.089         13.51%          1.893          2.890
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          2.187          2.041         14.09%          1.929          3.009
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          2.116          2.083          9.47%          1.858          2.482
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          2.085          2.036          8.23%          1.916          2.506
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          3.385          2.075        111.02%          1.815         14.627
                NewResourcesSubmissionDevice(api=ocl size=1)         73.347         64.693         17.27%         60.684         90.395
             NewResourcesSubmissionDevice(api=ocl size=64KB)         63.962         65.329          6.09%         56.995         70.156
            NewResourcesSubmissionDevice(api=ocl size=512KB)        111.252        100.546         22.11%         94.834        177.848
              NewResourcesSubmissionDevice(api=ocl size=1MB)        134.490        127.806         23.60%         99.831        220.511
             NewResourcesSubmissionDevice(api=ocl size=16MB)        992.463        990.421          6.41%        896.758       1102.654
             NewResourcesSubmissionDevice(api=ocl size=64MB)       9725.525       9713.622          0.80%       9607.471       9857.047
            NewResourcesSubmissionDevice(api=ocl size=256MB)      38796.415      38768.018          0.52%      38552.657      39292.025
              NewResourcesSubmissionDevice(api=ocl size=1GB)     154497.625     154683.618          0.31%     153413.177     154967.482
                  NewResourcesSubmissionHost(api=ocl size=1)         58.524         56.737          9.84%         55.272         75.532
               NewResourcesSubmissionHost(api=ocl size=64KB)         52.769         50.858         11.09%         48.722         70.003
              NewResourcesSubmissionHost(api=ocl size=512KB)         74.918         71.750          8.85%         69.886         92.279
                NewResourcesSubmissionHost(api=ocl size=1MB)         96.601         93.388          9.81%         87.159        120.867
               NewResourcesSubmissionHost(api=ocl size=16MB)        949.810        968.060          6.24%        778.886        997.675
               NewResourcesSubmissionHost(api=ocl size=64MB)       9597.334       9561.148          2.01%       9243.847       9972.642
              NewResourcesSubmissionHost(api=ocl size=256MB)      38544.115      38727.997          1.36%      37056.970      38912.171
                NewResourcesSubmissionHost(api=ocl size=1GB)     154020.764     154549.501          1.45%     147519.807     155418.381
                 NewResourcesWithGpuAccess(api=ocl size=1KB)         62.544         52.795         39.07%         48.144        132.304
                NewResourcesWithGpuAccess(api=ocl size=64KB)         60.799         59.993          9.37%         48.468         69.801
               NewResourcesWithGpuAccess(api=ocl size=512KB)        116.180        117.292          5.10%        106.138        125.227
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        210.814        203.460         10.94%        180.648        269.062
                NewResourcesWithGpuAccess(api=ocl size=16MB)       2076.951       1974.807         16.64%       1898.187       3106.455
