./pci_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                 UsmFill(api=ocl memory=device size=512MB patternSize=256)        334.860        334.147          1.09%        327.839        339.428
                                                                 UsmMemset(api=ocl memory=host size=128MB)         22.355         22.353          0.16%         22.312         22.423
                                                                 UsmMemset(api=ocl memory=host size=512MB)         22.595         22.590          0.16%         22.543         22.659
                                                               UsmMemset(api=ocl memory=device size=128MB)        281.039        282.065          1.42%        271.091        284.954
                                                               UsmMemset(api=ocl memory=device size=512MB)        334.499        334.155          0.97%        330.136        340.137
                                                              WriteBuffer(api=ocl size=128MB compressed=0)         16.805         16.796          0.49%         16.674         16.997
                                                              WriteBuffer(api=ocl size=128MB compressed=1)         16.733         16.748          0.28%         16.641         16.781
                                                              WriteBuffer(api=ocl size=512MB compressed=0)         17.068         17.079          0.51%         16.922         17.199
                                                              WriteBuffer(api=ocl size=512MB compressed=1)         17.086         17.099          0.35%         16.993         17.185
      WriteBufferRect(api=ocl size=16KB compressed=0 origin=0:0:0 region=128:128:1 rPitch=128 sPitch=16KB)          0.051          0.044         27.72%          0.037          0.079
     WriteBufferRect(api=ocl size=2MB compressed=0 origin=0:0:0 region=128:128:128 rPitch=128 sPitch=16KB)          2.235          2.242          2.40%          2.153          2.309
WriteBufferRect(api=ocl size=128MB compressed=0 origin=0:0:0 region=128:1024:1024 rPitch=128 sPitch=128KB)          2.887          2.886          0.30%          2.867          2.899
   WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:16:1024 rPitch=1KB sPitch=16KB)         13.194         13.472          4.85%         11.987         14.053
    WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:1024:16 rPitch=1KB sPitch=1MB)         13.347         13.413          1.43%         13.053         13.585
      WriteBufferRect(api=ocl size=16KB compressed=1 origin=0:0:0 region=128:128:1 rPitch=128 sPitch=16KB)          0.077          0.087         29.36%          0.044          0.107
     WriteBufferRect(api=ocl size=2MB compressed=1 origin=0:0:0 region=128:128:128 rPitch=128 sPitch=16KB)          2.529          2.555          5.30%          2.143          2.644
WriteBufferRect(api=ocl size=128MB compressed=1 origin=0:0:0 region=128:1024:1024 rPitch=128 sPitch=128KB)          2.887          2.887          0.11%          2.882          2.892
   WriteBufferRect(api=ocl size=16MB compressed=1 origin=0:0:0 region=1024:16:1024 rPitch=1KB sPitch=16KB)         13.045         13.303          5.22%         11.876         14.001
    WriteBufferRect(api=ocl size=16MB compressed=1 origin=0:0:0 region=1024:1024:16 rPitch=1KB sPitch=1MB)         13.378         13.753          4.72%         12.366         13.891
