./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                         TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
        FlushTime(api=ocl wgc=1000 wgs=0 event=1)          9.908          9.317         18.33%          7.928         14.097
        FlushTime(api=ocl wgc=1000 wgs=1 event=0)         10.217          9.334         23.12%          7.785         15.541
        FlushTime(api=ocl wgc=1000 wgs=1 event=1)          9.599          8.880         18.40%          7.781         13.980
       FlushTime(api=ocl wgc=1000 wgs=32 event=0)         10.206          9.127         23.99%          7.484         14.560
       FlushTime(api=ocl wgc=1000 wgs=32 event=1)         10.542          9.761         31.57%          7.608         19.901
      FlushTime(api=ocl wgc=1000 wgs=256 event=0)         10.833          9.280         29.79%          7.921         19.065
      FlushTime(api=ocl wgc=1000 wgs=256 event=1)         10.137          9.532         18.70%          7.942         13.630
     NewResourcesSubmissionDevice(api=ocl size=1)        372.073        391.406         24.34%        212.005        518.574
  NewResourcesSubmissionDevice(api=ocl size=64KB)        329.990        343.837         29.24%        195.516        537.018
 NewResourcesSubmissionDevice(api=ocl size=512KB)        343.072        353.674         20.05%        223.515        456.320
   NewResourcesSubmissionDevice(api=ocl size=1MB)        338.949        330.219         22.29%        206.088        427.413
  NewResourcesSubmissionDevice(api=ocl size=16MB)        611.900        592.784         12.12%        524.915        755.632
  NewResourcesSubmissionDevice(api=ocl size=64MB)       1600.915       1509.602         13.38%       1388.717       2052.520
 NewResourcesSubmissionDevice(api=ocl size=256MB)       4975.803       5012.874          3.32%       4704.795       5278.512
   NewResourcesSubmissionDevice(api=ocl size=1GB)      17270.153      17307.772          0.88%      17053.421      17578.407
       NewResourcesSubmissionHost(api=ocl size=1)         88.249         87.274         14.59%         73.488        105.793
    NewResourcesSubmissionHost(api=ocl size=64KB)        126.522        102.605         42.11%         74.701        210.024
   NewResourcesSubmissionHost(api=ocl size=512KB)        212.414        140.005         70.43%         98.522        531.074
     NewResourcesSubmissionHost(api=ocl size=1MB)        238.781        204.273         56.93%        122.892        513.701
