./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                         TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
       FlushTime(api=ocl wgc=100 wgs=256 event=1)          0.785          0.719         18.58%          0.695          1.169
        FlushTime(api=ocl wgc=1000 wgs=0 event=0)          0.752          0.708         13.93%          0.689          1.057
        FlushTime(api=ocl wgc=1000 wgs=0 event=1)          0.772          0.732         17.45%          0.624          1.149
        FlushTime(api=ocl wgc=1000 wgs=1 event=0)          0.746          0.708         19.76%          0.638          1.180
        FlushTime(api=ocl wgc=1000 wgs=1 event=1)          0.783          0.724         17.51%          0.689          1.150
       FlushTime(api=ocl wgc=1000 wgs=32 event=0)          0.773          0.693         25.80%          0.574          1.255
       FlushTime(api=ocl wgc=1000 wgs=32 event=1)          0.765          0.709         19.38%          0.611          1.085
      FlushTime(api=ocl wgc=1000 wgs=256 event=0)          0.769          0.718         17.91%          0.659          1.155
      FlushTime(api=ocl wgc=1000 wgs=256 event=1)          0.780          0.712         24.02%          0.638          1.315
     NewResourcesSubmissionDevice(api=ocl size=1)        432.835        421.137         14.56%        333.362        524.145
  NewResourcesSubmissionDevice(api=ocl size=64KB)        319.877        376.666         44.10%        123.330        494.387
 NewResourcesSubmissionDevice(api=ocl size=512KB)        405.913        408.000         19.76%        231.894        537.289
   NewResourcesSubmissionDevice(api=ocl size=1MB)        458.422        467.010         13.65%        353.700        534.428
  NewResourcesSubmissionDevice(api=ocl size=16MB)        696.561        721.573         10.20%        574.250        811.743
  NewResourcesSubmissionDevice(api=ocl size=64MB)       1563.814       1562.124          5.88%       1413.168       1705.054
 NewResourcesSubmissionDevice(api=ocl size=256MB)       4610.990       4573.380          2.23%       4459.507       4816.008
   NewResourcesSubmissionDevice(api=ocl size=1GB)      16426.259      16461.942          0.93%      16209.599      16609.434
       NewResourcesSubmissionHost(api=ocl size=1)         54.554         43.276         58.19%         25.924        117.134
    NewResourcesSubmissionHost(api=ocl size=64KB)         67.770         50.547         60.89%         30.334        153.104
   NewResourcesSubmissionHost(api=ocl size=512KB)        130.598        127.620         56.14%         46.942        294.510
     NewResourcesSubmissionHost(api=ocl size=1MB)        153.189        183.426         43.52%         33.531        231.226
    NewResourcesSubmissionHost(api=ocl size=16MB)        174.002        165.647         16.67%        131.794        222.535
    NewResourcesSubmissionHost(api=ocl size=64MB)       8502.986       8505.740          1.38%       8200.465       8644.681
   NewResourcesSubmissionHost(api=ocl size=256MB)      33745.844      33942.707          1.63%      32105.711      34015.098
     NewResourcesSubmissionHost(api=ocl size=1GB)     134198.215     135072.584          1.84%     126815.030     135318.874
      NewResourcesWithGpuAccess(api=ocl size=1KB)        491.813        512.701         10.15%        360.971        534.768
