./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  1024
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          2.901          1.949         97.72%          1.822         11.403
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.267          2.104         16.67%          2.028          3.310
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          2.947          1.992         91.45%          1.918         11.016
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         10.245          9.974          8.33%          9.490         12.296
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          2.960          2.018         91.67%          1.874         11.084
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          2.298          2.179         14.80%          2.106          3.299
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          2.065          1.911         20.26%          1.856          3.309
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         10.383          9.771         14.87%          9.543         14.727
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          2.904          1.955         97.47%          1.869         11.392
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.290          2.138         18.13%          2.061          3.516
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          2.922          1.999         91.23%          1.850         10.908
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         10.075          9.698          8.87%          9.374         12.501
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)         24.293         23.437          9.48%         22.909         30.479
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)         28.309         24.233         24.50%         23.433         44.811
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)         23.652         23.188          4.23%         23.031         26.063
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)         24.339         23.592          6.65%         22.946         28.047
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)         25.945         23.425         19.64%         23.029         39.974
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)         23.319         23.391          0.98%         22.913         23.643
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)         23.753         23.254          3.67%         22.996         25.809
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)         24.950         23.635         13.58%         22.563         34.174
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)         23.475         23.191          2.89%         23.050         25.273
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)         24.922         23.161         17.36%         22.837         37.294
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)         27.480         23.360         28.66%         22.923         44.893
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)         23.969         23.227         11.06%         22.629         31.851
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)         23.570         23.334          3.26%         22.763         25.585
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)         24.896         23.222         20.21%         22.814         39.969
