./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          3.113          1.888        115.22%          1.780         13.869
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.160          2.067          9.24%          1.998          2.674
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          3.138          1.924        114.21%          1.878         13.888
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         10.216         10.060          4.37%          9.642         11.046
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          3.188          2.001        113.34%          1.866         14.028
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          2.116          1.999         17.85%          1.828          3.231
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          3.186          1.909        117.91%          1.802         14.452
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         10.144         10.108          3.29%          9.832         11.031
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          3.116          1.938        111.62%          1.855         13.546
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.186          2.095         15.27%          1.786          3.126
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          3.125          1.944        111.45%          1.888         13.572
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         10.051          9.820          5.46%          9.703         11.540
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          6.267          5.155         37.15%          4.330         11.994
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          6.517          6.497         28.11%          4.492          9.255
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          6.333          5.293         33.82%          4.386          9.963
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          5.938          5.444         24.01%          5.184         10.168
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          5.249          5.092          7.98%          4.858          6.111
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          5.319          5.324          5.40%          4.933          5.865
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          5.865          5.149         32.92%          4.313         11.068
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          5.475          5.287         14.12%          4.805          7.704
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          5.703          4.895         35.12%          4.696         11.596
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          6.043          5.219         29.40%          4.907         10.389
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          5.764          5.172         31.90%          4.704         11.193
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          5.627          5.421         13.92%          5.035          7.887
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          6.008          5.274         35.36%          4.168         11.321
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          5.604          5.242         20.84%          4.242          8.254
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          6.476          5.753         34.95%          4.158         11.154
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          5.766          5.252         29.66%          4.835         10.860
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          6.268          5.532         33.10%          4.049         10.926
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          5.671          4.912         30.74%          4.153          8.654
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          5.536          5.144         26.14%          3.993          9.617
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          5.801          4.659         34.12%          4.391         10.411
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          5.958          5.409         25.63%          4.152          8.472
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          6.065          4.925         32.31%          4.256          9.689
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          6.938          6.450         42.39%          4.040         13.921
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          5.139          4.441         25.47%          4.297          7.857
                NewResourcesSubmissionDevice(api=ocl size=1)        297.385        281.966         21.75%        216.792        382.274
             NewResourcesSubmissionDevice(api=ocl size=64KB)        275.694        254.486         24.53%        195.355        422.365
            NewResourcesSubmissionDevice(api=ocl size=512KB)        310.507        313.203         18.86%        222.380        388.487
              NewResourcesSubmissionDevice(api=ocl size=1MB)        265.086        245.240         17.36%        212.943        370.658
             NewResourcesSubmissionDevice(api=ocl size=16MB)        557.138        540.632          6.85%        516.783        643.409
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1609.799       1635.125         10.49%       1277.568       1844.854
            NewResourcesSubmissionDevice(api=ocl size=256MB)       4733.697       4698.533          2.99%       4555.092       4980.172
              NewResourcesSubmissionDevice(api=ocl size=1GB)      16786.449      16826.805          0.67%      16609.166      16919.818
                  NewResourcesSubmissionHost(api=ocl size=1)        154.083        140.363         40.35%         89.536        245.706
               NewResourcesSubmissionHost(api=ocl size=64KB)        155.869        143.240         37.22%         93.031        232.267
              NewResourcesSubmissionHost(api=ocl size=512KB)        230.675        226.814         54.47%        107.455        466.613
                NewResourcesSubmissionHost(api=ocl size=1MB)        293.041        237.804         38.31%        225.097        536.338
               NewResourcesSubmissionHost(api=ocl size=16MB)        745.853        293.641        122.64%        263.300       2667.554
               NewResourcesSubmissionHost(api=ocl size=64MB)       8406.552       8284.615          4.06%       8076.504       9161.518
              NewResourcesSubmissionHost(api=ocl size=256MB)      31631.099      31577.470          0.57%      31516.805      32150.415
                NewResourcesSubmissionHost(api=ocl size=1GB)     126345.523     126130.478          0.36%     125816.845     127226.458
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        445.115        440.918         12.09%        320.178        541.771
                NewResourcesWithGpuAccess(api=ocl size=64KB)        414.576        424.818         20.69%        212.982        530.064
               NewResourcesWithGpuAccess(api=ocl size=512KB)        373.965        348.974         14.76%        317.754        500.168
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        339.506        359.973         17.11%        243.517        430.238
                NewResourcesWithGpuAccess(api=ocl size=16MB)        628.952        604.644          7.32%        584.663        719.334
                NewResourcesWithGpuAccess(api=ocl size=64MB)       1729.758       1728.660          5.84%       1542.252       1926.480
               NewResourcesWithGpuAccess(api=ocl size=256MB)       5579.199       5578.853          1.21%       5485.595       5724.229
                 NewResourcesWithGpuAccess(api=ocl size=1GB)      20641.879      20643.501          0.70%      20418.557      20889.102
                                RoundTripSubmission(api=ocl)         80.458         82.152         10.03%         58.333         92.281
                            WalkerCompletionLatency(api=ocl)          3.175          2.963         11.62%          2.849          3.813
                             WalkerSubmissionEvents(api=ocl)         76.936         75.960          4.14%         74.640         85.760
