 ./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          3.031          1.929        105.06%          1.757         12.575
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          3.369          2.136        103.75%          2.062         13.842
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          3.021          1.946        105.13%          1.847         12.544
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         13.028         10.169         56.12%          9.793         34.646
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          3.098          1.971        101.54%          1.815         12.507
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          3.327          2.118        101.05%          2.063         13.398
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          3.024          1.938        104.66%          1.837         12.511
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         14.278         10.222         75.66%          9.853         46.499
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          2.986          1.994         99.10%          1.885         11.855
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.211          2.070         14.87%          1.961          3.141
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          2.087          1.990         14.72%          1.920          2.998
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         11.155         10.255         26.19%          9.644         19.879
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          5.678          4.960         27.46%          4.167          9.245
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          6.852          5.360         40.86%          4.940         14.338
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          6.539          4.854         48.89%          4.104         14.844
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          5.519          4.826         38.55%          4.066         11.644
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          4.953          4.989          3.41%          4.651          5.205
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          5.052          5.046          3.34%          4.845          5.386
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          5.766          5.104         37.53%          4.680         12.211
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          5.427          4.941         25.32%          4.355          8.840
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          6.154          4.696         53.64%          3.959         15.394
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          5.918          4.944         26.02%          4.238          8.267
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          6.480          5.538         31.03%          4.384         10.446
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          4.796          4.597         17.51%          4.048          7.057
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          4.682          4.302         21.00%          3.866          7.104
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          5.425          4.765         27.04%          4.032          8.182
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          4.979          4.593         21.39%          4.032          7.929
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          5.253          4.605         22.26%          4.260          7.131
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          5.056          4.696         24.95%          4.189          8.650
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          5.196          4.766         19.03%          4.485          7.193
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          4.724          4.627         10.43%          4.202          6.031
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          4.606          4.560          8.74%          4.051          5.152
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          4.800          4.824          3.47%          4.471          5.065
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          5.137          4.700         17.31%          4.443          7.482
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          5.588          4.696         33.58%          4.008         10.298
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          5.202          4.762         19.89%          4.159          7.867
                NewResourcesSubmissionDevice(api=ocl size=1)       1963.571       1999.361         17.33%       1305.433       2462.733
             NewResourcesSubmissionDevice(api=ocl size=64KB)       1894.932       1967.714         12.98%       1373.820       2122.533
            NewResourcesSubmissionDevice(api=ocl size=512KB)       1705.641       1781.022         15.15%       1325.171       2095.891
              NewResourcesSubmissionDevice(api=ocl size=1MB)       1759.805       1658.620         21.29%       1304.815       2522.027
             NewResourcesSubmissionDevice(api=ocl size=16MB)       1823.041       1720.925         14.64%       1553.437       2299.920
             NewResourcesSubmissionDevice(api=ocl size=64MB)       2598.265       2430.631         13.44%       2206.914       3173.580
            NewResourcesSubmissionDevice(api=ocl size=256MB)       5425.709       5285.123          7.39%       5038.620       6212.257
              NewResourcesSubmissionDevice(api=ocl size=1GB)      18089.157      18080.484          0.59%      17943.876      18269.006
                  NewResourcesSubmissionHost(api=ocl size=1)       1318.105       1298.318         21.38%        972.104       2062.109
               NewResourcesSubmissionHost(api=ocl size=64KB)       1079.787       1096.625         16.91%        809.557       1354.597
              NewResourcesSubmissionHost(api=ocl size=512KB)        949.744        914.369          9.72%        845.905       1142.123
                NewResourcesSubmissionHost(api=ocl size=1MB)        968.309        948.486          8.24%        837.679       1083.664
               NewResourcesSubmissionHost(api=ocl size=16MB)       1339.137        985.861         57.63%        839.643       2906.889
               NewResourcesSubmissionHost(api=ocl size=64MB)       8903.086       8919.650          0.88%       8768.045       9031.646
              NewResourcesSubmissionHost(api=ocl size=256MB)      33205.155      33219.485          0.68%      32595.970      33415.226
                NewResourcesSubmissionHost(api=ocl size=1GB)     131474.745     131771.270          0.72%     128718.611     132067.629
                 NewResourcesWithGpuAccess(api=ocl size=1KB)       2273.403       2285.848         11.77%       1622.047       2767.227
                NewResourcesWithGpuAccess(api=ocl size=64KB)       2120.346       2164.673         14.97%       1319.250       2581.143
               NewResourcesWithGpuAccess(api=ocl size=512KB)       1843.218       1890.265         12.63%       1424.933       2187.253
                 NewResourcesWithGpuAccess(api=ocl size=1MB)       1655.397       1806.966         18.06%       1190.365       2080.175
                NewResourcesWithGpuAccess(api=ocl size=16MB)       2047.028       2093.480         12.51%       1617.621       2447.130
                NewResourcesWithGpuAccess(api=ocl size=64MB)       2983.329       3094.481         10.60%       2251.740       3410.896
               NewResourcesWithGpuAccess(api=ocl size=256MB)       6894.668       6938.931          5.45%       5896.442       7294.612
                 NewResourcesWithGpuAccess(api=ocl size=1GB)      22213.374      22326.438          1.88%      21282.904      22779.599
                                RoundTripSubmission(api=ocl)        192.918         82.683        169.07%         82.168       1171.362
                            WalkerCompletionLatency(api=ocl)          3.145          2.930         12.36%          2.623          3.642
                             WalkerSubmissionEvents(api=ocl)        114.560         76.520         65.70%         72.240        326.240
