Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                                 UsmMemset(api=ocl memory=host size=512MB)          3.341          3.341          0.05%          3.338          3.344
                                                               UsmMemset(api=ocl memory=device size=128MB)         53.629         58.787         28.78%          7.331         58.877
                                                               UsmMemset(api=ocl memory=device size=512MB)         42.269         42.235         48.10%         21.929         62.697
                                                              WriteBuffer(api=ocl size=128MB compressed=0)          1.808          1.911          8.69%          1.558          1.913
                                                              WriteBuffer(api=ocl size=512MB compressed=0)          1.864          1.864          0.05%          1.862          1.865
      WriteBufferRect(api=ocl size=16KB compressed=0 origin=0:0:0 region=128:128:1 rPitch=128 sPitch=16KB)          0.349          0.372         21.12%          0.128          0.380
     WriteBufferRect(api=ocl size=2MB compressed=0 origin=0:0:0 region=128:128:128 rPitch=128 sPitch=16KB)          2.778          2.786          1.84%          2.692          2.860
WriteBufferRect(api=ocl size=128MB compressed=0 origin=0:0:0 region=128:1024:1024 rPitch=128 sPitch=128KB)          1.808          1.909          8.57%          1.556          1.911
   WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:16:1024 rPitch=1KB sPitch=16KB)          2.566          3.313         45.14%          0.794          3.339
    WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:1024:16 rPitch=1KB sPitch=1MB)          2.560          3.305         45.07%          0.796          3.338
