Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          3.453          1.597        138.50%          1.543         17.638
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          1.996          1.750         35.28%          1.734          4.105
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          1.722          1.506         33.19%          1.494          3.420
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         11.995         10.219         44.21%         10.151         27.902
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          3.405          1.583        136.37%          1.550         17.173
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          1.933          1.748         25.96%          1.731          3.429
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          1.772          1.529         31.92%          1.511          3.431
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)         12.063         10.265         44.18%         10.194         28.048
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          1.874          1.607         39.63%          1.576          4.095
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          3.531          1.772        135.00%          1.734         17.750
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          1.731          1.515         32.55%          1.504          3.401
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)         12.016         10.204         44.62%         10.112         28.097
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          3.441          1.591        138.93%          1.528         17.636
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          1.913          1.735         26.11%          1.708          3.402
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=0)          3.289          1.539        142.22%          1.507         17.225
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=1)         12.052         10.271         43.89%         10.180         27.918
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=0)          3.484          1.625        135.10%          1.549         17.424
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          3.471          1.736        134.97%          1.698         17.441
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          3.360          1.562        139.60%          1.523         17.325
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)         12.050         10.280         43.97%         10.151         27.943
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          3.365          1.562        160.04%          1.509         19.518
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          1.935          1.754         26.01%          1.732          3.438
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          1.762          1.557         30.90%          1.524          3.383
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         11.962         10.210         43.40%         10.114         27.531
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          3.417          1.588        134.42%          1.512         17.029
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          1.983          1.754         31.48%          1.724          3.841
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          1.742          1.531         32.01%          1.498          3.400
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         12.013         10.240         43.58%         10.170         27.715
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          3.418          1.552        160.17%          1.517         19.838
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          3.493          1.738        148.89%          1.715         19.093
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          3.337          1.567        154.93%          1.514         18.841
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         12.016         10.247         43.37%         10.166         27.645
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          0.978          0.934         15.49%          0.878          1.427
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          1.007          0.950         12.91%          0.870          1.274
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          0.936          0.896         13.49%          0.854          1.311
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          1.036          0.951         15.67%          0.898          1.367
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          2.504          0.907        187.13%          0.849         16.557
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          0.999          0.947         12.88%          0.882          1.251
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          0.967          0.926         14.63%          0.888          1.388
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          1.020          0.934         21.37%          0.872          1.588
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          0.975          0.942         11.83%          0.871          1.307
