Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          1.909          1.730         27.16%          1.643          3.443
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          3.367          1.554        140.24%          1.513         17.428
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)         12.144         10.325         44.43%         10.244         28.327
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          1.777          1.550         32.19%          1.535          3.469
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          1.965          1.747         29.86%          1.715          3.706
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          3.297          1.556        141.57%          1.531         17.206
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         12.050         10.261         43.77%         10.181         27.870
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          1.825          1.579         31.78%          1.558          3.530
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          1.970          1.782         26.20%          1.748          3.509
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          3.306          1.556        141.90%          1.532         17.289
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         12.061         10.290         43.60%         10.219         27.835
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          3.335          1.566        157.02%          1.541         19.045
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          1.939          1.742         29.03%          1.697          3.619
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          1.837          1.596         30.46%          1.575          3.426
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         10.555         10.341          5.53%         10.288         12.282
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)          0.966          0.921         15.28%          0.860          1.404
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          1.027          0.965         13.61%          0.884          1.315
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)          2.541          0.967        181.91%          0.924         16.405
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          1.035          0.945         18.12%          0.909          1.419
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          0.959          0.938         11.68%          0.867          1.283
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          1.012          0.964         12.52%          0.892          1.280
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)          0.948          0.918         12.25%          0.844          1.284
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          1.013          0.940         16.82%          0.884          1.431
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          0.997          0.951         13.76%          0.884          1.394
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          1.047          0.984         12.75%          0.929          1.314
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          0.963          0.921         15.67%          0.855          1.408
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          1.019          0.949         14.73%          0.894          1.384
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          2.487          0.923        184.15%          0.874         16.220
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          0.993          0.915         15.09%          0.854          1.317
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          1.045          0.920         30.26%          0.853          1.914
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          0.995          0.946         12.23%          0.889          1.253
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          0.984          0.911         24.73%          0.879          1.713
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          0.992          0.929         16.20%          0.868          1.375
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          0.954          0.911         14.84%          0.864          1.368
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          0.994          0.929         14.90%          0.856          1.362
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          0.954          0.904         14.32%          0.870          1.351
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          1.003          0.938         14.57%          0.890          1.391
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          2.506          0.901        191.56%          0.886         16.910
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          1.006          0.942         15.49%          0.898          1.399
                NewResourcesSubmissionDevice(api=ocl size=1)         93.114         68.589         48.98%         65.285        185.593
             NewResourcesSubmissionDevice(api=ocl size=64KB)        107.931         86.692         49.89%         65.666        233.213
            NewResourcesSubmissionDevice(api=ocl size=512KB)        168.726        176.697         13.08%        116.159        191.300
              NewResourcesSubmissionDevice(api=ocl size=1MB)        250.007        243.096         11.89%        203.915        305.367
             NewResourcesSubmissionDevice(api=ocl size=16MB)       2111.842       2145.380          6.54%       1777.291       2267.494
             NewResourcesSubmissionDevice(api=ocl size=64MB)       6464.733       6906.101         10.77%       5322.628       6990.764
            NewResourcesSubmissionDevice(api=ocl size=256MB)      23101.726      22255.500         11.74%      19597.814      26444.831
              NewResourcesSubmissionDevice(api=ocl size=1GB)      98733.111     101014.290          6.41%      80303.368     102342.778
                  NewResourcesSubmissionHost(api=ocl size=1)         67.406         30.724         69.04%         29.459        134.050
               NewResourcesSubmissionHost(api=ocl size=64KB)         48.247         37.230         47.75%         29.618        101.890
              NewResourcesSubmissionHost(api=ocl size=512KB)         66.147         40.382         63.39%         39.389        164.701
                NewResourcesSubmissionHost(api=ocl size=1MB)         49.787         49.396          2.48%         48.980         53.390
               NewResourcesSubmissionHost(api=ocl size=16MB)        383.920        382.356          8.16%        351.390        448.727
               NewResourcesSubmissionHost(api=ocl size=64MB)       8668.091       8635.926          1.49%       8503.628       9009.204
              NewResourcesSubmissionHost(api=ocl size=256MB)      33889.412      33916.397          1.17%      32846.042      34420.890
                NewResourcesSubmissionHost(api=ocl size=1GB)     134266.555     134437.862          0.99%     130454.418     135560.577
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        121.819        105.748         23.62%         96.374        180.201
                NewResourcesWithGpuAccess(api=ocl size=64KB)        132.034        134.495         35.97%         67.757        212.083
               NewResourcesWithGpuAccess(api=ocl size=512KB)        209.509        221.873         25.74%        129.466        299.462
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        287.065        298.361         10.95%        202.622        319.298
                NewResourcesWithGpuAccess(api=ocl size=16MB)       2372.924       2406.727          3.99%       2183.534       2476.456
                NewResourcesWithGpuAccess(api=ocl size=64MB)       7361.149       7248.703          3.51%       7174.073       8014.640
               NewResourcesWithGpuAccess(api=ocl size=256MB)      27080.821      26244.272          9.49%      23863.749      30739.458
                 NewResourcesWithGpuAccess(api=ocl size=1GB)     113530.274     118186.839          6.73%      98716.947     118967.415
                                RoundTripSubmission(api=ocl)          8.004          7.552         18.48%          7.195         12.411
                            WalkerCompletionLatency(api=ocl)          0.315          0.312          9.52%          0.274          0.381
                             WalkerSubmissionEvents(api=ocl)         12.828         11.120         40.32%         10.833         28.333
