Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          2.361          2.208         18.68%          2.134          3.669
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.470          2.325         16.82%          2.266          3.702
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          2.380          2.197         19.50%          2.140          3.739
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)         13.349         12.951         13.92%         10.767         16.750
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          3.699          2.263        101.52%          2.169         14.894
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          3.935          2.589         97.23%          2.348         15.360
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          4.115          2.321        119.26%          2.179         18.763
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         12.276         12.122          6.97%         11.041         13.763
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          7.824          2.439        155.20%          2.172         42.234
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.586          2.441         14.76%          2.342          3.699
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          3.811          2.305        101.97%          2.213         15.380
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)         12.226         12.559          4.88%         11.198         12.890
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)         11.216         11.200         44.00%          4.543         18.207
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)         10.169          7.795         48.46%          4.538         18.449
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)         10.790          7.270         58.08%          4.707         21.867
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)          7.459          6.324         61.38%          4.539         20.641
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          6.725          6.030         38.66%          4.473         13.195
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)         11.333          8.607         55.14%          4.641         21.152
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)         10.554          9.219         41.63%          4.664         18.473
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)         10.856          8.644         52.26%          4.637         20.636
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)         11.792         11.045         44.75%          5.384         22.908
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)         10.537          8.223         54.77%          4.825         24.649
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)          6.658          7.032         15.99%          4.836          8.436
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)         12.727          9.427         70.04%          4.568         32.631
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          5.840          5.405         20.82%          4.613          7.822
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          5.929          5.294         25.74%          4.658          9.632
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)          9.987          8.415         44.31%          4.843         18.139
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          6.294          6.296         28.75%          4.616         10.905
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          6.474          6.713         28.14%          4.657         11.023
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          9.292          7.484         55.45%          4.572         19.757
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          5.711          5.327         18.82%          4.626          7.218
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          9.800          6.656         75.67%          4.775         26.714
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)          5.996          6.410         19.07%          4.547          7.243
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          9.138          6.691         51.12%          5.466         18.399
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)          8.932          7.707         40.79%          4.834         18.188
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          6.410          5.441         42.87%          4.648         14.193
                NewResourcesSubmissionDevice(api=ocl size=1)         94.823         93.928         27.61%         65.333        136.861
             NewResourcesSubmissionDevice(api=ocl size=64KB)        115.986         87.598         52.78%         65.463        248.085
            NewResourcesSubmissionDevice(api=ocl size=512KB)        236.469        233.430         12.18%        205.976        312.715
              NewResourcesSubmissionDevice(api=ocl size=1MB)        259.987        280.150         18.71%        194.894        325.053
             NewResourcesSubmissionDevice(api=ocl size=16MB)       2011.552       2068.557         11.25%       1417.840       2226.320
             NewResourcesSubmissionDevice(api=ocl size=64MB)       7781.278       8809.829         20.61%       5297.654       8944.067
            NewResourcesSubmissionDevice(api=ocl size=256MB)      27414.341      27642.706         21.06%      20127.186      34845.712
              NewResourcesSubmissionDevice(api=ocl size=1GB)     107008.138     112155.058         11.50%      82595.488     116399.045
                  NewResourcesSubmissionHost(api=ocl size=1)        101.105         70.478         63.17%         35.539        231.064
               NewResourcesSubmissionHost(api=ocl size=64KB)         68.754         59.960         48.53%         31.396        147.184
              NewResourcesSubmissionHost(api=ocl size=512KB)        100.199         84.653         50.95%         39.942        183.531
                NewResourcesSubmissionHost(api=ocl size=1MB)        153.547        171.827         30.22%         62.712        219.395
               NewResourcesSubmissionHost(api=ocl size=16MB)        537.366        528.285          3.78%        517.035        582.855
               NewResourcesSubmissionHost(api=ocl size=64MB)       8276.412       8268.708          0.41%       8215.994       8329.023
              NewResourcesSubmissionHost(api=ocl size=256MB)      32236.880      32210.102          0.64%      31939.816      32695.278
                NewResourcesSubmissionHost(api=ocl size=1GB)     127440.651     127366.296          0.45%     126791.866     128822.960
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        118.314         83.324         47.55%         68.175        218.435
                NewResourcesWithGpuAccess(api=ocl size=64KB)        113.830        104.319         34.90%         72.331        201.170
               NewResourcesWithGpuAccess(api=ocl size=512KB)        194.757        175.692         20.72%        143.587        249.725
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        221.545        218.460         17.13%        168.868        298.558
                NewResourcesWithGpuAccess(api=ocl size=16MB)       2347.590       2328.733         10.33%       1946.369       2630.112
                NewResourcesWithGpuAccess(api=ocl size=64MB)       6369.963       6371.394          0.77%       6305.593       6446.637
               NewResourcesWithGpuAccess(api=ocl size=256MB)      24971.277      24696.941          3.33%      23981.571      26730.730
                 NewResourcesWithGpuAccess(api=ocl size=1GB)     112232.771     112403.260          4.52%      98974.519     117953.248
                                RoundTripSubmission(api=ocl)         38.251         26.953         42.99%         24.473         73.759
                            WalkerCompletionLatency(api=ocl)          0.736          0.814         19.43%          0.438          0.851
                             WalkerSubmissionEvents(api=ocl)         34.974         29.688         25.30%         28.385         50.781
